SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
296/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,03/05/2022,ND,240,ND,1640,ND,ND,160
297/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,03/05/2022,ND,ND,ND,ND,ND,ND,ND
298/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,04/05/2022,100,ND,ND,1300,ND,ND,ND
299/22,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,05/05/2022,ND,ND,ND,ND,ND,ND,ND
300/22,Dart,B028B,South Hams DC,SX87415599,Waddeton,05/05/2022,ND,ND,ND,400,ND,ND,ND
301/22,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,09/05/2022,ND,80,ND,ND,ND,ND,120
302/22,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,09/05/2022,ND,80,ND,ND,ND,ND,80
303/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,09/05/2022,ND,320,ND,ND,ND,ND,40
304/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,09/05/2022,ND,360,ND,ND,ND,ND,ND
305/22,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,09/05/2022,"Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency","Not tested, submitted outside of routine testing frequency"
306/22,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,09/05/2022,ND,1200,ND,360,ND,ND,ND
307/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,09/05/2022,ND,ND,ND,ND,ND,ND,ND
308/22,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,09/05/2022,"Not tested, submitted in error","Not tested, submitted in error","Not tested, submitted in error","Not tested, submitted in error","Not tested, submitted in error","Not tested, submitted in error","Not tested, submitted in error"
310/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,10/05/2022,ND,ND,ND,ND,ND,ND,ND
311/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,10/05/2022,ND,ND,ND,ND,ND,ND,ND
312/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,10/05/2022,ND,ND,ND,ND,ND,ND,ND
313/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,10/05/2022,ND,ND,ND,ND,ND,ND,ND
314/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,10/05/2022,ND,80,ND,1480,ND,ND,ND
315/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,09/05/2022,ND,ND,ND,160,ND,ND,ND
316/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,10/05/2022,ND,ND,ND,400,ND,ND,ND
317/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,12/05/2022,ND,ND,ND,ND,ND,ND,ND
318/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,12/05/2022,ND,ND,ND,ND,ND,ND,ND
319/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,12/05/2022,ND,ND,ND,5000,ND,ND,ND
